parcel_number,siteaddr,tca,city,school_dist,land_value_2026,imp_value_2026,total_value_2026,taxable_value_2026,exemption_from_year,exemption_to_year,levy_rate_2026
0219014110,4110 108TH ST SW,760,CITY/TOWN OF LAKEWOOD,SD #400 CLOVER PARK,"755,100",0,"755,100","755,100",2024,2028,9.335653473765
0219014112,4108 108TH ST SW,760,CITY/TOWN OF LAKEWOOD,SD #400 CLOVER PARK,"290,800","2,027,200","2,318,000","290,800",2024,2028,9.335653473765
0219022263,5915 LAKE GROVE ST SW,760,CITY/TOWN OF LAKEWOOD,SD #400 CLOVER PARK,"1,365,800","6,010,300","7,376,100","1,365,800",2022,2028,9.335653473765
0219122153,11419 KENDRICK ST SW,760,CITY/TOWN OF LAKEWOOD,SD #400 CLOVER PARK,"987,100","2,959,600","3,946,700","987,100",2026,2033,9.335653473765
0219123117,12535 BRIDGEPORT WAY SW,760,CITY/TOWN OF LAKEWOOD,SD #400 CLOVER PARK,"13,224,500","46,132,300","59,356,800","13,224,500",2020,2027,9.335653473765
0220154077,7304 42ND ST W,752,CITY/TOWN OF UNIVERSITY PLACE,SD #083 UNIVERSITY PLACE,"3,371,900","6,496,900","9,868,800","3,371,900",2024,2031,9.784476194117
0220154078,4201 BRIDGEPORT WAY W,752,CITY/TOWN OF UNIVERSITY PLACE,SD #083 UNIVERSITY PLACE,"1,481,200","7,408,100","8,889,300","1,481,200",2024,2031,9.784476194117
0320271126,1402 E 69TH ST,005,CITY/TOWN OF TACOMA,SD #010 TACOMA,"1,475,900","10,191,000","11,666,900","1,705,197",2021,2032,10.876416053020
2000130010,5 S G ST,005,CITY/TOWN OF TACOMA,SD #010 TACOMA,"4,092,700","30,574,900","34,667,600","4,560,496",2023,2030,10.876416053020
2003120021,308 TACOMA AVE S,005,CITY/TOWN OF TACOMA,SD #010 TACOMA,"2,064,200","28,775,200","30,839,400","2,064,200",2024,2031,10.876416053020
2004070030,409 ST HELENS AVE,005,CITY/TOWN OF TACOMA,SD #010 TACOMA,"754,400",0,"754,400","754,400",2024,2031,10.876416053020
2004070040,415 ST HELENS AVE,005,CITY/TOWN OF TACOMA,SD #010 TACOMA,"754,400",0,"754,400","754,400",2024,2031,10.876416053020
2004070050,419 ST HELENS AVE,005,CITY/TOWN OF TACOMA,SD #010 TACOMA,"754,400",0,"754,400","754,400",2024,2031,10.876416053020
2004070065,429 ST HELENS AVE,005,CITY/TOWN OF TACOMA,SD #010 TACOMA,"2,188,100","81,036,800","83,224,900","2,188,100",2024,2031,10.876416053020
